country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
France,1900,,,,,,,,,,,,,,,,,,,,,,,,269.726,6740.945,,,,,,,,,,,,,,,,,,,,,,,,,186101232000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40013112.0,,,,,,,,,,,,,,,,,,,,,,
France,1901,-3.268,-8.813,,0.0,,0.0,,,,,,,,,,,,,,,,,,260.913,6512.833,,,,,,,,,,,,,,,,,,,,,,,,,183083200000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40061330.0,,,,,,,,,,,,,,,,,,,,,,
France,1902,-7.192,-18.765,,0.0,,0.0,,,,,,,,,,,,,,,,,,242.148,6037.053,,,,,,,,,,,,,,,,,,,,,,,,,180073599000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40110254.0,,,,,,,,,,,,,,,,,,,,,,
France,1903,16.427,39.779,,0.0,,0.0,,,,,,,,,,,,,,,,,,281.926,7020.098,,,,,,,,,,,,,,,,,,,,,,,,,184067218000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40159884.0,,,,,,,,,,,,,,,,,,,,,,
France,1904,-2.105,-5.933,,0.0,,0.0,,,,,,,,,,,,,,,,,,275.993,6863.867,,,,,,,,,,,,,,,,,,,,,,,,,185418142000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40209573.0,,,,,,,,,,,,,,,,,,,,,,
France,1905,5.138,14.18,,0.0,,0.0,,,,,,,,,,,,,,,,,,290.173,7207.602,,,,,,,,,,,,,,,,,,,,,,,,,188625570000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40259319.0,,,,,,,,,,,,,,,,,,,,,,
France,1906,-4.89,-14.19,,0.0,,0.0,,,,,,,,,,,,,,,,,,275.983,6846.673,,,,,,,,,,,,,,,,,,,,,,,,,192058922000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40309123.0,,,,,,,,,,,,,,,,,,,,,,
France,1907,7.515,20.74,,0.0,,0.0,,,,,,,,,,,,,,,,,,296.723,7352.103,,,,,,,,,,,,,,,,,,,,,,,,,200370148000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40358986.0,,,,,,,,,,,,,,,,,,,,,,
France,1908,1.746,5.179,,0.0,,0.0,,,,,,,,,,,,,,,,,,301.903,7471.192,,,,,,,,,,,,,,,,,,,,,,,,,199237284000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40408906.0,,,,,,,,,,,,,,,,,,,,,,
France,1909,1.256,3.792,,0.0,,0.0,,,,,,,,,,,,,,,,,,305.695,7566.393,,,,,,,,,,,,,,,,,,,,,,,,,207518232000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,40401655.0,,,,,,,,,,,,,,,,,,,,,,
